sub,Negative_invalid_0.03,Negative_invalid_0.08,Negative_invalid_0.2,Negative_invalid_0.45,Negative_invalid_0.75,Negative_valid_0.03,Negative_valid_0.08,Negative_valid_0.2,Negative_valid_0.45,Negative_valid_0.75,Neutral_invalid_0.03,Neutral_invalid_0.08,Neutral_invalid_0.2,Neutral_invalid_0.45,Neutral_invalid_0.75,Neutral_valid_0.03,Neutral_valid_0.08,Neutral_valid_0.2,Neutral_valid_0.45,Neutral_valid_0.75,Positive_invalid_0.03,Positive_invalid_0.08,Positive_invalid_0.2,Positive_invalid_0.45,Positive_invalid_0.75,Positive_valid_0.03,Positive_valid_0.08,Positive_valid_0.2,Positive_valid_0.45,Positive_valid_0.75
1,699.7916667,680.5208333,749.1666667,687.3684211,597.8,665.4166667,646.8055556,692.7777778,599.0654206,529.7142857,1225.833333,1306.25,1062.916667,834.375,752.7083333,966.1458333,836.0416667,794.4444444,733.8888889,659.7222222,778.5416667,681.5625,702.7083333,956.25,845,762.6388889,571.9444444,636.5277778,685.2777778,767.3611111
2,570.4545455,520.625,475.8333333,522.7083333,476.875,541.0576923,555.6944444,463.3333333,520.4166667,500.8333333,581.0416667,563.125,669.1666667,540.625,500.8333333,423.2857143,597.9166667,694.3055556,478.8888889,524.5833333,595.625,571.4583333,535.625,548.3333333,481.4583333,508.4722222,529.0277778,525,513.4722222,428.4722222
3,654.5833333,656.875,556.0416667,585.8333333,500,722.2222222,562.9166667,467.6388889,494.1428571,446.6666667,684.7916667,763.75,576.0416667,558.125,568.3333333,396.5625,540.5633803,467.1428571,495.2112676,460.8955224,870.2083333,742.3913043,618.75,604.875,600,842.5,565.2857143,488.8571429,479.7142857,489.2857143
4,420.8333333,473.3333333,486.4583333,414.375,434.5833333,392.6388889,471.8055556,469.7222222,369.0277778,413.8888889,523.125,498.75,442.9166667,399.7916667,436.4583333,479.1666667,452.0833333,397.0833333,415.8333333,398.8888889,544.1666667,406.25,439.375,460.625,425.4166667,640.6944444,445.2777778,415.5555556,440.9722222,418.4722222
5,552.0833333,619.5652174,516.25,483.6956522,497.9166667,506.8115942,510.8333333,493.0555556,434.5070423,468.6111111,608.5416667,572.2916667,492.0833333,475.2083333,458.125,603.1944444,524.1666667,504.7222222,482.9166667,471.25,701.4583333,595.2083333,626.4583333,478.75,523.75,702.9166667,517.6388889,626.3888889,470.5555556,443.0555556
6,518.125,554.7916667,511.6666667,496.4583333,502.5,501.1111111,530.1388889,508.75,485.6944444,489.7222222,740.4166667,681.4583333,660,478.5416667,434.7916667,605.8333333,588.75,544.8611111,420.1388889,436.8055556,610.2083333,606.0869565,493.3333333,439.1666667,431.3333333,564.3055556,533.4285714,450,407.7142857,383.943662
7,572.7272727,790,522.2916667,735.2083333,486.6666667,577.4285714,778.75,521.5277778,607.7777778,461.1111111,650,611.25,811.4583333,767.7083333,496.6666667,600.2816901,553.3333333,809.3055556,630.1470588,510.8333333,732.173913,775.1111111,626.5957447,642.6666667,703.1914894,624.4117647,646.4285714,588.1690141,585.6944444,607.5362319
8,728.3333333,691.0416667,743.125,678.9583333,711.0416667,685.5555556,660,761.9444444,743.75,693.3333333,611.875,777.7083333,765,721.875,659.1666667,595.1388889,769.4444444,762.9166667,683.6111111,672.3611111,623.75,720,572.9166667,453.75,598.3333333,616.5277778,659.3055556,630.6944444,431.8055556,664.0277778
9,752.7083333,698.4615385,725,675.6097561,657.0731707,651.2857143,671.1111111,662.671875,629.3548387,611.6666667,614.3181818,565.2272727,549.7777778,634.3181818,577.6595745,502.2727273,468.6440678,439.5833333,474.0277778,439.2857143,655.2083333,534.7916667,636.6666667,561.5217391,660.75,718.3333333,542.3611111,567.3913043,526.6176471,659.6825397
10,508.3333333,419.5744681,417.2916667,473.125,458.6956522,493.6111111,437.5714286,420.6944444,457.8873239,460.5555556,644.1666667,511.25,561.0638298,548.0434783,590.4166667,618.75,502.0833333,554.2028986,511.8571429,627.0149254,692.7083333,678.9583333,633.75,615.4166667,673.9583333,670.5555556,679.8611111,694.7222222,611.3888889,616.25
11,770.7692308,680.625,624.6,525.9574468,665.3846154,667.3846154,546.6666667,571.5853659,465.8888889,455.1041667,870.7692308,777.5,801.25,635,661.875,669.8461538,761.25,660,546.969697,617.7272727,872.3076923,710.8333333,801.25,635,658.125,666.1538462,579.5,550,512.7272727,509.84375
12,942.2916667,1153.75,967.5,1068.75,873.75,832.5,955.4166667,783.3333333,696.4912281,568.1690141,1143.333333,925.25,1215.625,874.7916667,980.625,940,864.9230769,1063.333333,975.4166667,841.3888889,1318.333333,1300.238095,962.826087,1010.227273,848.8372093,1003.076923,1030.142857,931.3559322,919.0625,762.3728814
13,596.5625,569.375,528.125,519.0625,537.5609756,512.5,536.25,517.0833333,472.7083333,484.9494949,1071.538462,959.2857143,820.6666667,792.5,705.625,810.3703704,876.8421053,744.0909091,698.75,703.75,1019.677419,954.3333333,817.6190476,799.4736842,751,879.0625,766.6666667,741.5217391,742.4418605,667.5675676
