sub,negative_invalid_1,negative_valid_1,negative_invalid_2,negative_valid_2,negative_invalid_3,negative_valid_3,negative_invalid_4,negative_valid_4,negative_invalid_5,negative_valid_5,neutral_invalid_1,neutral_valid_1,neutral_invalid_2,neutral_valid_2,neutral_invalid_3,neutral_valid_3,neutral_invalid_4,neutral_valid_4,neutral_invalid_5,neutral_valid_5,positive_invalid_1,positive_valid_1,positive_invalid_2,positive_valid_2,positive_invalid_3,positive_valid_3,positive_invalid_4,positive_valid_4,positive_invalid_5,positive_valid_5
1,0.6052632,0.6581197,0.625,0.7272727,0.6666667,0.7431193,0.7058824,0.7641509,0.725,0.7698413,0.597561,0.6239316,0.6285714,0.697479,0.675,0.7666667,0.76,0.7792208,0.6923077,0.7424242,0.6129032,0.6764706,0.6285714,0.7192982,0.7419355,0.7878788,0.775,0.8039216,0.75,0.7936508
2,0.5263158,0.5391304,0.575,0.6153846,0.6052632,0.6271186,0.5789474,0.626087,0.5833333,0.6168224,0.5,0.5135135,0.525,0.5546218,0.5789474,0.6,0.575,0.5916667,0.5555556,0.6339286,0.5128205,0.5344828,0.5526316,0.5798319,0.5789474,0.6355932,0.5789474,0.6416667,0.6111111,0.6396396
3,0.725,0.7815126,0.75,0.825,0.775,0.8474576,0.7567568,0.8536585,0.8095238,0.8318584,0.5853659,0.6280992,0.6216216,0.6864407,0.6410256,0.6929825,0.6842105,0.6581197,0.6176471,0.7090909,0.5526316,0.5798319,0.6153846,0.6465517,0.6315789,0.6694915,0.6285714,0.6608696,0.6444444,0.6842105
4,0.5128205,0.4358974,0.525,0.5333333,0.525,0.573913,0.55,0.5677966,0.5483871,0.5862069,0.5263158,0.5526316,0.5277778,0.6,0.6,0.6601942,0.6060606,0.6796117,0.6666667,0.7142857,0.475,0.425,0.4,0.4583333,0.45,0.5166667,0.5,0.5,0.4736842,0.5277778
5,0.65,0.7166667,0.675,0.7394958,0.725,0.7478992,0.6923077,0.7310924,0.7037037,0.7380952,0.5405405,0.5833333,0.625,0.6470588,0.675,0.7166667,0.725,0.65,0.5925926,0.6285714,0.725,0.7372881,0.7105263,0.7948718,0.675,0.7666667,0.7,0.7563025,0.85,0.75
6,0.7179487,0.7758621,0.775,0.8333333,0.8,0.85,0.825,0.8583333,0.8214286,0.8375,0.6,0.7416667,0.6666667,0.7826087,0.775,0.8235294,0.775,0.8333333,0.7435897,0.8403361,0.6486486,0.7954545,0.75,0.825,0.825,0.85,0.85,0.8666667,0.825,0.875
7,0.525,0.5210084,0.625,0.5882353,0.6578947,0.5132743,0.475,0.512605,0.675,0.6916667,0.65,0.6982759,0.6666667,0.7327586,0.725,0.7692308,0.5384615,0.7627119,0.6666667,0.7605634,0.75,0.7166667,0.625,0.6083333,0.55,0.45,0.625,0.5083333,0.5909091,0.4861111
8,0.625,0.5517241,0.525,0.575,0.6315789,0.6576577,0.6216216,0.6725664,0.6363636,0.6785714,0.45,0.5966387,0.5263158,0.6302521,0.575,0.7079646,0.6111111,0.7142857,0.6571429,0.7142857,0.65,0.7068966,0.5,0.6666667,0.5,0.6916667,0.475,0.7083333,0.6,0.5916667
9,0.725,0.7916667,0.725,0.6666667,0.75,0.7,0.775,0.7,0.78125,0.6829268,0.625,0.675,0.675,0.7416667,0.75,0.7627119,0.7631579,0.7692308,0.65,0.7844828,0.65,0.7,0.7,0.7166667,0.65,0.6833333,0.55,0.7,0.5833333,0.7164179
10,0.675,0.65,0.7,0.7583333,0.7,0.7583333,0.7222222,0.7314815,0.6551724,0.765625,0.575,0.65,0.65,0.7166667,0.675,0.75,0.7105263,0.7413793,0.6764706,0.7542373,0.6944444,0.7227723,0.75,0.7666667,0.775,0.789916,0.7631579,0.7758621,0.6969697,0.7663551
11,0.675,0.7457627,0.7368421,0.7931034,0.7,0.8166667,0.775,0.8416667,0.6756757,0.8113208,0.7,0.6554622,0.65,0.725,0.7,0.775,0.7368421,0.7815126,0.625,0.7833333,0.675,0.6890756,0.725,0.7666667,0.7948718,0.8235294,0.8,0.825,0.8,0.8362069
12,0.6,0.6666667,0.625,0.6833333,0.7,0.7416667,0.7,0.7416667,0.6842105,0.7222222,0.65,0.725,0.625,0.8083333,0.725,0.825,0.7,0.8416667,0.7826087,0.8356164,0.6,0.625,0.65,0.7,0.675,0.7333333,0.7,0.75,0.6744186,0.7478992
13,0.5,0.5694444,0.6,0.6774194,0.6181818,0.6891892,0.6491228,0.7102804,0.6341463,0.6969697,0.625,0.5517241,0.5833333,0.7402597,0.6585366,0.7777778,0.6610169,0.7904762,0.703125,0.7474747,0.5294118,0.5,0.5,0.561,0.3448276,0.52,0.761194,0.75,0.5666667,0.5833333
