sub,negative_invalid_1,negative_valid_1,negative_invalid_2,negative_valid_2,negative_invalid_3,negative_valid_3,negative_invalid_4,negative_valid_4,negative_invalid_5,negative_valid_5,neutral_invalid_1,neutral_valid_1,neutral_invalid_2,neutral_valid_2,neutral_invalid_3,neutral_valid_3,neutral_invalid_4,neutral_valid_4,neutral_invalid_5,neutral_valid_5,positive_invalid_1,positive_valid_1,positive_invalid_2,positive_valid_2,positive_invalid_3,positive_valid_3,positive_invalid_4,positive_valid_4,positive_invalid_5,positive_valid_5
1,725.7938,688.7299,725.945,663.2554,663.9997,651.1169,679.0174,671.0048,694.2783,698.6855,791.8039,751.8687,805.9477,778.712,784.9406,747.2354,766.53,654.0949,686.1438,644.7414,869.3714,818.4491,694.7897,686.9987,652.308,610.6457,716.6915,594.9444,656.7081,575.5999
2,592.3686,553.783,524.9192,477.0101,459.9455,449.3342,554.8168,443.2151,549.2245,448.7744,580.481,564.9851,537.531,522.7749,424.5921,391.7023,446.2115,396.011,448.455,415.3034,659.5938,628.68,570.1257,551.2138,537.9271,488.0558,476.4436,464.4865,443.3022,386.5221
3,806.1225,814.9965,733.102,718.1337,699.5721,711.3801,653.5384,625.9495,598.2915,585.921,702.8451,645.5797,699.7162,668.8193,733.9455,679.664,554.6676,518.8951,635.5229,571.1488,800.9231,795.8649,776.408,791.0631,806.9808,750.4243,707.5686,696.734,679.292,687.197
4,488.6518,462.936,403.3521,400.2724,335.4133,310.3994,309.044,284.999,365.5173,329.3968,745.2441,645.1399,509.3956,428.1976,502.3934,459.6674,475.3259,459.8539,483.5132,463.3911,480.5742,419.8967,352.9139,371.1504,433.5679,399.6981,496.5025,495.0424,607.5075,542.849
5,608.4395,586.8505,606.0384,599.2296,652.077,573.2658,541.7854,522.3183,600.2137,548.2964,714.025,645.4949,705.5319,673.1585,672.2508,652.4199,694.9197,638.6129,731.6408,655.6417,610.4069,598.7657,679.3919,639.6038,690.5817,638.3564,600.7375,594.756,640.459,587.6416
6,519.2023,478.4442,560.6445,507.9559,551.2018,505.7166,458.2698,447.1002,479.4871,468.2346,594.6362,548.1915,652.0405,542.2729,667.0237,630.9584,572.4087,523.9167,591.9428,533.1922,549.3034,553.4624,590.6537,561.5114,609.2473,566.4282,551.6079,527.9344,551.2358,526.6297
7,468.16,462.373,556.4438,465.2177,534.3517,528.8331,532.4697,503.3147,597.6439,563.3808,700.8956,625.3908,648.1189,586.7475,637.7648,589.874,612.92,565.9109,645.4055,580.5772,681.4391,667.6582,593.7906,602.5163,646.0803,602.5582,603.7424,524.5855,569.2524,549.4142
8,729.1667,658.9011,657.1316,636.7989,749.4714,707.7187,691.9851,701.2522,592.4818,679.5326,692.2943,644.5965,731.899,662.2477,676.4112,677.2018,626.7713,619.6838,585.0621,625.5275,783.823,735.6633,789.2121,779.626,883.8622,821.6056,812.8085,839.743,826.1073,798.1011
9,556.1008,523.4181,519.8295,518.2043,576.3284,543.7892,507.5244,511.1538,545.8532,531.4691,602.6269,559.467,609.3563,533.5721,577.28,507.9812,572.0784,546.8963,633.319,586.1882,551.7847,569.4496,578.7195,538.8366,542.1637,541.9917,509.4918,515.0683,552.1488,513.9846
10,689.5803,627.924,671.3139,615.1845,639.8305,568.2822,478.7547,464.9277,554.4075,564.9398,596.078,557.006,606.707,579.935,680.0617,654.4247,688.3673,582.4564,601.0291,543.2629,627.7953,622.4637,636.0318,640.5821,560.66,557.3298,565.2257,549.2179,651.6122,600.7379
11,613.2983,565.6369,616.3945,610.2524,581.731,592.6081,612.2313,589.0893,582.2119,546.1257,563.968,560.3957,598.6826,597.2392,649.0928,579.6533,563.8484,543.4423,630.5337,566.4178,642.7438,601.223,626.5655,613.8002,642.3314,638.4751,538.379,571.8764,630.3526,614.9439
12,567.4258,529.3153,559.5814,559.0262,578.949,499.3956,521.4487,485.148,606.9589,559.5686,721.2803,675.4544,716.4119,665.5219,697.1443,709.4717,727.7335,655.2534,680.1575,645.2979,681.5328,660.0126,606.9677,585.3364,614.2666,601.093,549.4032,558.6362,676.7113,639.0356
15,898.8235,857.2222,904.2,852.2258,870.7273,755.9459,902.9474,817.4206,745.1463,698.0909,922.1429,798.2759,925.7778,681.3636,884.0488,687.8687,831.6441,767.0476,718.5938,690.6061,977.5294,878.5111,872.3077,809.2424,849.1379,692.6522,860,787.8125,766.3333,750.2083
