sub,emo,validity,contrast,correct,rt,d
1,Negative,invalid,0.03,0.541666667,699.7916667,0.209266913
1,Neutral,invalid,0.03,0.541666667,1225.833333,0.209266913
1,Positive,invalid,0.03,0.520833333,778.5416667,0.104490359
1,Negative,valid,0.03,0.555555556,665.4166667,0.2794206
1,Neutral,valid,0.03,0.520833333,966.1458333,0.104490359
1,Positive,valid,0.03,0.527777778,762.6388889,0.139369842
1,Negative,invalid,0.08,0.635416667,680.5208333,0.692468529
1,Neutral,invalid,0.08,0.625,1306.25,0.637278728
1,Positive,invalid,0.08,0.645833333,681.5625,0.748190819
1,Negative,valid,0.08,0.680555556,646.8055556,0.93850577
1,Neutral,valid,0.08,0.71875,836.0416667,1.158264325
1,Positive,valid,0.08,0.743055556,571.9444444,1.305588634
1,Negative,invalid,0.2,0.760416667,749.1666667,1.41528702
1,Neutral,invalid,0.2,0.729166667,1062.916667,1.220589222
1,Positive,invalid,0.2,0.791666667,702.7083333,1.624435605
1,Negative,valid,0.2,0.805555556,692.7777778,1.723268244
1,Neutral,valid,0.2,0.861111111,794.4444444,2.170649815
1,Positive,valid,0.2,0.861111111,636.5277778,2.170649815
1,Negative,invalid,0.45,0.842105263,687.3684211,2.006295934
1,Neutral,invalid,0.45,0.833333333,834.375,1.93484313
1,Positive,invalid,0.45,0.854166667,956.25,2.108944906
1,Negative,valid,0.45,0.906542056,599.0654206,2.639515643
1,Neutral,valid,0.45,0.902777778,733.8888889,2.59508586
1,Positive,valid,0.45,0.888888889,685.2777778,2.441280699
1,Negative,invalid,0.75,0.86,597.8,2.160638682
1,Neutral,invalid,0.75,0.916666667,752.7083333,2.765988259
1,Positive,invalid,0.75,0.895833333,845,2.516323118
1,Negative,valid,0.75,0.914285714,529.7142857,2.735255843
1,Neutral,valid,0.75,0.930555556,659.7222222,2.959882785
1,Positive,valid,0.75,0.902777778,767.3611111,2.59508586
2,Negative,invalid,0.03,0.560606061,570.4545455,0.30501195
2,Neutral,invalid,0.03,0.583333333,581.0416667,0.420856787
2,Positive,invalid,0.03,0.5625,595.625,0.314621369
2,Negative,valid,0.03,0.596153846,541.0576923,0.486808355
2,Neutral,valid,0.03,0.585714286,423.2857143,0.43306825
2,Positive,valid,0.03,0.611111111,508.4722222,0.564432294
2,Negative,invalid,0.08,0.729166667,520.625,1.220589222
2,Neutral,invalid,0.08,0.770833333,563.125,1.483188086
2,Positive,invalid,0.08,0.645833333,571.4583333,0.748190819
2,Negative,valid,0.08,0.708333333,555.6944444,1.097044563
2,Neutral,valid,0.08,0.791666667,597.9166667,1.624435605
2,Positive,valid,0.08,0.777777778,529.0277778,1.529419349
2,Negative,invalid,0.2,0.833333333,475.8333333,1.93484313
2,Neutral,invalid,0.2,0.8125,669.1666667,1.774293118
2,Positive,invalid,0.2,0.75,535.625,1.3489795
2,Negative,valid,0.2,0.875,463.3333333,2.300698761
2,Neutral,valid,0.2,0.847222222,694.3055556,2.049184783
2,Positive,valid,0.2,0.847222222,525,2.049184783
2,Negative,invalid,0.45,0.875,522.7083333,2.300698761
