sub,validity,emo,dmax,c50
1,invalid,negative,2.431456219,0.156054228
1,invalid,positive,2.474984559,0.136453236
1,valid,neutral,3.210528127,0.130761897
1,invalid,neutral,3.476332539,0.31869603
1,valid,positive,2.599547381,0.085072671
1,valid,negative,3.112691063,0.156561714
2,invalid,negative,2.443139067,0.084759413
2,valid,neutral,4.133575363,0.178250156
2,valid,positive,3.745406622,0.138621247
2,valid,negative,3.283843211,0.119332967
2,invalid,positive,4.195720955,0.361117036
2,invalid,neutral,3.628845262,0.19118911
3,invalid,negative,2.722344962,0.110765513
3,invalid,positive,4.697137938,0.447525569
3,valid,neutral,2.443527818,0.08037985
3,valid,negative,3.327340181,0.074442249
3,valid,positive,4.031263077,0.19136139
3,invalid,neutral,2.256405371,0.133332032
4,invalid,neutral,3.038008406,0.058663511
4,valid,negative,2.138955213,0.048857394
4,invalid,positive,2.635629204,0.042635835
4,valid,neutral,2.916480859,0.040179441
4,valid,positive,2.837432231,0.064714728
4,invalid,negative,2.184069377,0.034361763
5,valid,negative,4.583109549,0.365309791
5,invalid,positive,2.663975827,0.12602627
5,valid,positive,2.548683585,0.072050523
5,valid,neutral,3.461796806,0.257741335
5,invalid,neutral,3.461560519,0.471564932
5,invalid,negative,2.864976544,0.115455967
6,invalid,negative,2.78509083,0.085179955
6,invalid,positive,2.611800188,0.121256579
6,valid,neutral,2.890086571,0.081635929
6,valid,positive,2.849618917,0.080644606
6,valid,negative,2.995887262,0.078237318
6,invalid,neutral,3.007057422,0.092481507
7,valid,negative,2.000255246,0.084375839
7,valid,neutral,1.981919708,0.104303701
7,valid,positive,1.849839116,0.061659758
7,invalid,neutral,1.784575836,0.120681672
7,invalid,negative,1.280262952,0.063584474
7,invalid,positive,1.962489786,0.176481001
8,valid,neutral,0,0.8
8,valid,positive,0.523502834,0.031390383
8,valid,negative,1.015172678,0.8
8,invalid,neutral,0,0.8
8,invalid,negative,0,0.8
8,invalid,positive,0,0.8
9,invalid,neutral,3.899354387,0.8
9,valid,positive,2.333447098,0.268824252
9,valid,neutral,2.262305446,0.133168418
9,invalid,positive,3.762088416,0.8
9,invalid,negative,1.384697327,0.136017048
9,valid,negative,1.947260093,0.09014632
10,invalid,negative,1.356862575,0.164671472
10,valid,neutral,1.693943548,0.09882708
10,invalid,positive,1.339194835,0.122727629
10,invalid,neutral,1.796103676,0.283366556
10,valid,negative,2.526902617,0.157737172
10,valid,positive,1.284391979,0.203700237
11,valid,positive,1.853137814,0.089977287
11,invalid,neutral,2.33874381,0.350784503
11,valid,neutral,2.059460743,0.084140422
11,valid,negative,2.492274764,0.143688794
11,invalid,negative,1.788815638,0.128529348
11,invalid,positive,1.895214257,0.170800336
12,invalid,negative,1.249959982,0.134340186
12,valid,negative,2.866452064,0.280825174
12,valid,neutral,2.147889892,0.159457161
12,invalid,neutral,3.724718553,0.8
12,valid,positive,2.022321507,0.117279769
12,invalid,positive,2.096972904,0.240681248
13,invalid,positive,1.851110177,0.322082611
13,valid,negative,1.711214065,0.104812753
13,invalid,neutral,4.356384189,0.8
13,invalid,negative,1.579679829,0.128975264
13,valid,neutral,1.907709573,0.108991122
13,valid,positive,1.601186075,0.140115852
