sub,emo,validity,nRhythms,correct,rt,d
1,negative,invalid,1,0.6052632,725.7938,0.53398847
1,negative,invalid,2,0.625,725.945,0.637278728
1,negative,invalid,3,0.6666667,663.9997,0.861454782
1,negative,invalid,4,0.7058824,679.0174,1.082790443
1,negative,invalid,5,0.725,694.2783,1.195520252
1,negative,valid,1,0.6581197,688.7299,0.814673704
1,negative,valid,2,0.7272727,663.2554,1.209170529
1,negative,valid,3,0.7431193,651.1169,1.305984112
1,negative,valid,4,0.7641509,671.0048,1.439437433
1,negative,valid,5,0.7698413,698.6855,1.476648611
1,neutral,invalid,1,0.597561,791.8039,0.494078108
1,neutral,invalid,2,0.6285714,805.9477,0.656144064
1,neutral,invalid,3,0.675,784.9406,0.90752438
1,neutral,invalid,4,0.76,766.53,1.412605126
1,neutral,invalid,5,0.6923077,686.1438,1.00480449
1,neutral,valid,1,0.6239316,751.8687,0.631646157
1,neutral,valid,2,0.697479,778.712,1.034327084
1,neutral,valid,3,0.7666667,747.2354,1.4558268
1,neutral,valid,4,0.7792208,654.0949,1.539128562
1,neutral,valid,5,0.7424242,644.7414,1.30167435
1,positive,invalid,1,0.6129032,869.3714,0.573787699
1,positive,invalid,2,0.6285714,694.7897,0.656144064
1,positive,invalid,3,0.7419355,652.308,1.298647926
1,positive,invalid,4,0.775,716.6915,1.510830053
1,positive,invalid,5,0.75,656.7081,1.3489795
1,positive,valid,1,0.6764706,818.4491,0.915703928
1,positive,valid,2,0.7192982,686.9987,1.161515897
1,positive,valid,3,0.7878788,610.6457,1.598165608
1,positive,valid,4,0.8039216,594.9444,1.711425088
1,positive,valid,5,0.7936508,575.5999,1.638308547
2,negative,invalid,1,0.5263158,592.3686,0.132023678
2,negative,invalid,2,0.575,524.9192,0.378236853
2,negative,invalid,3,0.6052632,459.9455,0.53398847
2,negative,invalid,4,0.5789474,554.8168,0.398402811
2,negative,invalid,5,0.5833333,549.2245,0.420856618
2,negative,valid,1,0.5391304,553.783,0.196486349
2,negative,valid,2,0.6153846,477.0101,0.586762384
2,negative,valid,3,0.6271186,449.3342,0.648462935
2,negative,valid,4,0.626087,443.2151,0.64301455
2,negative,valid,5,0.6168224,448.7744,0.594291598
2,neutral,invalid,1,0.5,580.481,0
2,neutral,invalid,2,0.525,537.531,0.125413556
2,neutral,invalid,3,0.5789474,424.5921,0.398402811
2,neutral,invalid,4,0.575,446.2115,0.378236853
2,neutral,invalid,5,0.5555556,448.455,0.279420823
2,neutral,valid,1,0.5135135,564.9851,0.067759603
2,neutral,valid,2,0.5546218,522.7749,0.274694308
2,neutral,valid,3,0.6,391.7023,0.506694206
2,neutral,valid,4,0.5916667,396.011,0.463668897
2,neutral,valid,5,0.6339286,415.3034,0.684553051
2,positive,invalid,1,0.5128205,659.5938,0.064283522
2,positive,invalid,2,0.5526316,570.1257,0.264625811
2,positive,invalid,3,0.5789474,537.9271,0.398402811
2,positive,invalid,4,0.5789474,476.4436,0.398402811
2,positive,invalid,5,0.6111111,443.3022,0.564432236
2,positive,valid,1,0.5344828,628.68,0.173086944
2,positive,valid,2,0.5798319,551.2138,0.402926916
2,positive,valid,3,0.6355932,488.0558,0.693408279
2,positive,valid,4,0.6416667,464.4865,0.725834769
2,positive,valid,5,0.6396396,386.5221,0.714991252
3,negative,invalid,1,0.725,806.1225,1.195520252
3,negative,invalid,2,0.75,733.102,1.3489795
3,negative,invalid,3,0.775,699.5721,1.510830053
3,negative,invalid,4,0.7567568,653.5384,1.39181615
3,negative,invalid,5,0.8095238,598.2915,1.752285628
3,negative,valid,1,0.7815126,814.9965,1.554623718
3,negative,valid,2,0.825,718.1337,1.869178582
3,negative,valid,3,0.8474576,711.3801,2.051180352
3,negative,valid,4,0.8536585,625.9495,2.104508132
3,negative,valid,5,0.8318584,585.921,1.923070143
3,neutral,invalid,1,0.5853659,702.8451,0.431280446
3,neutral,invalid,2,0.6216216,699.7162,0.619484949
3,neutral,invalid,3,0.6410256,733.9455,0.722403056
3,neutral,invalid,4,0.6842105,554.6676,0.959011159
3,neutral,invalid,5,0.6176471,635.5229,0.598614037
3,neutral,valid,1,0.6280992,645.5797,0.653646429
3,neutral,valid,2,0.6864407,668.8193,0.97157285
3,neutral,valid,3,0.6929825,679.664,1.008644342
3,neutral,valid,4,0.6581197,518.8951,0.814673704
3,neutral,valid,5,0.7090909,571.1488,1.101461681
3,positive,invalid,1,0.5526316,800.9231,0.264625811
3,positive,invalid,2,0.6153846,776.408,0.586762384
3,positive,invalid,3,0.6315789,806.9808,0.672076029
3,positive,invalid,4,0.6285714,707.5686,0.656144064
3,positive,invalid,5,0.6444444,679.292,0.740728251
3,positive,valid,1,0.5798319,795.8649,0.402926916
3,positive,valid,2,0.6465517,791.0631,0.752054601
3,positive,valid,3,0.6694915,750.4243,0.877018959
3,positive,valid,4,0.6608696,696.734,0.829675179
3,positive,valid,5,0.6842105,687.197,0.959011159
4,negative,invalid,1,0.5128205,488.6518,0.064283522
