sub,validity,emo,avWeight
1,invalid,negative,0.747442317
1,invalid,positive,0.412558789
1,valid,negative,0.485241431
1,valid,neutral,0.422854432
1,valid,positive,0.384229237
1,invalid,neutral,0.749614439
2,invalid,positive,0.739967834
2,valid,negative,0.805100443
2,valid,neutral,0.66672262
2,invalid,neutral,0.698703301
2,valid,positive,0.603795713
2,invalid,negative,0.79484842
3,invalid,positive,0.94860367
3,invalid,neutral,0.93831733
3,valid,negative,0.783331293
3,valid,positive,0.78212536
3,invalid,negative,0.741192278
3,valid,neutral,0.870770777
4,valid,neutral,0.669751925
4,invalid,neutral,0.737461619
4,valid,negative,0.995286809
4,invalid,negative,0.833447899
4,valid,positive,0.467926007
4,invalid,positive,0.481933134
5,valid,neutral,0.843075995
5,valid,negative,0.516165109
5,valid,positive,0.909995285
5,invalid,negative,0.712170242
5,invalid,neutral,0.835153811
5,invalid,positive,0.447927082
6,invalid,positive,0.898752993
6,invalid,negative,0.87220889
6,valid,positive,0.896532856
6,valid,neutral,0.435820801
6,invalid,neutral,0.892948671
6,valid,negative,0.420197841
7,invalid,negative,0.896532856
7,valid,neutral,0.388202257
7,valid,negative,0.733647622
7,valid,positive,0.995004694
7,invalid,positive,0.917229561
7,invalid,neutral,0.806733402
8,valid,negative,0.756421496
8,valid,positive,0.868436969
8,valid,neutral,0.554199307
8,invalid,negative,0.634172346
8,invalid,positive,0.851931306
8,invalid,neutral,0.729154185
9,invalid,negative,0.941397519
9,valid,positive,0.798356658
9,invalid,neutral,0.790413031
9,valid,neutral,0.48846846
9,invalid,positive,0.714350801
9,valid,negative,0.790176977
10,valid,positive,0.996320059
10,valid,neutral,0.414708794
10,invalid,positive,0.496361339
10,valid,negative,0.583138271
10,invalid,negative,0.945465766
10,invalid,neutral,0.783316007
11,invalid,positive,0.259792549
11,valid,negative,0.906061731
11,invalid,neutral,0.769103543
11,invalid,negative,0.820422851
11,valid,neutral,0.44484706
11,valid,positive,0.903263851
